0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
1,0.490296804,45.71,-40.3925,-0.883668781,200,150,4,15,6,100,DEVIANCE
2,0.489726027,46.0825,-40.3475,-0.875549287,200,150,4,15,6,1000,DEVIANCE
3,0.492340686,31.4375,-26.995,-0.858687873,450,100,4,10,6,50,DEVIANCE
4,0.485253877,30.49,-26.0975,-0.855936373,450,150,7,10,6,50,DEVIANCE
5,0.480574324,54.09,-46.2125,-0.854363099,200,100,4,15,3,1000,DEVIANCE
6,0.490011416,51.7575,-43.1725,-0.834130319,200,150,4,15,6,500,DEVIANCE
7,0.484987745,28.465,-23.74,-0.834006675,450,100,4,10,3,50,DEVIANCE
8,0.48875502,27.805,-23.0625,-0.829437152,1000,500,2,15,3,1000,DEVIANCE
9,0.486872146,59.6075,-49.2375,-0.826028604,200,150,4,15,3,500,DEVIANCE
10,0.488457207,44.705,-35.8725,-0.802427022,200,100,4,15,6,100,DEVIANCE
11,0.488584475,48.0325,-38.4775,-0.801072191,200,150,4,15,3,1000,DEVIANCE
12,0.490196078,33.995,-27.055,-0.795852331,450,100,4,15,3,50,DEVIANCE
13,0.501441961,49.625,-39.215,-0.7902267,1000,150,4,15,3,50,DEVIANCE
14,0.50036049,45.3575,-35.82,-0.789726065,1000,150,4,10,3,50,DEVIANCE
15,0.488051471,38.21,-29.835,-0.78081654,450,100,4,15,6,100,DEVIANCE
16,0.49963951,49.35,-37.81,-0.766160081,1000,150,4,15,3,100,DEVIANCE
17,0.484797297,45.11,-34.4875,-0.764520062,200,100,4,10,3,500,DEVIANCE
18,0.505046864,41.4725,-31.38,-0.75664597,1000,150,4,10,3,100,DEVIANCE
19,0.500848896,32.815,-24.4725,-0.745771751,200,100,7,10,3,50,DEVIANCE
20,0.502514368,33.5975,-25.0225,-0.744772677,1000,100,4,10,6,50,DEVIANCE
21,0.487012987,52.545,-38.7075,-0.736654296,1500,200,4,10,6,100,DEVIANCE
22,0.486486486,44.925,-33.0575,-0.735837507,200,100,4,15,6,500,DEVIANCE
23,0.485730594,33.0825,-24.3225,-0.735207436,200,150,4,10,6,1000,DEVIANCE
24,0.48704955,45.605,-33.5225,-0.735061945,200,100,4,15,6,1000,DEVIANCE
25,0.491030708,28.67,-21.0125,-0.732908964,450,150,7,15,6,50,DEVIANCE
26,0.489276961,35.23,-25.775,-0.731620778,450,100,4,15,3,500,DEVIANCE
27,0.488357843,31.3575,-22.895,-0.730128358,450,100,4,15,6,500,DEVIANCE
28,0.49024024,28.5875,-20.6975,-0.724005247,1000,150,2,10,6,1000,DEVIANCE
29,0.491115196,34.665,-24.715,-0.71296697,450,100,4,15,6,50,DEVIANCE
30,0.483762255,39.245,-27.825,-0.709007517,450,100,4,15,3,1000,DEVIANCE
31,0.495674117,31.8525,-22.475,-0.705596107,1000,150,4,15,3,500,DEVIANCE
32,0.487612613,33.69,-23.7625,-0.705327991,200,100,4,10,3,1000,DEVIANCE
33,0.49744898,49.9625,-34.965,-0.699824869,1000,200,4,15,6,50,DEVIANCE
34,0.491366366,32.98,-22.7625,-0.690191025,1000,150,2,10,3,1000,DEVIANCE
35,0.486586758,41.25,-28.2675,-0.685272727,200,150,4,10,6,100,DEVIANCE
36,0.494232156,44.6625,-30.03,-0.672376154,1000,150,4,15,6,100,DEVIANCE
37,0.491421569,28.77,-19.21,-0.66770942,450,100,4,15,3,100,DEVIANCE
38,0.490427928,36.855,-24.6025,-0.667548501,200,100,4,15,3,500,DEVIANCE
39,0.49516129,50.64,-33.69,-0.66528436,1000,500,4,15,6,100,DEVIANCE
40,0.49194284,29.22,-19.3875,-0.663501027,450,150,7,10,6,100,DEVIANCE
41,0.494897959,22.1675,-14.66,-0.661328521,1000,200,4,15,3,500,DEVIANCE
42,0.487157534,30.0625,-19.7375,-0.656548857,200,150,4,10,6,500,DEVIANCE
43,0.492246884,33.09,-21.7025,-0.655862798,450,150,7,10,3,100,DEVIANCE
44,0.488357843,29.2,-19.125,-0.654965753,450,100,4,15,6,1000,DEVIANCE
45,0.493975904,38.46,-25.0675,-0.651781071,1000,500,2,15,6,1000,DEVIANCE
46,0.498558039,37.27,-24.065,-0.645693587,1000,150,4,10,6,100,DEVIANCE
47,0.501004016,19.605,-12.6125,-0.643330783,1500,500,2,10,3,1000,DEVIANCE
48,0.493686869,51.315,-32.9925,-0.642940661,450,200,2,15,6,500,DEVIANCE
49,0.491792929,48.305,-30.7725,-0.637045854,450,200,2,15,6,1000,DEVIANCE
50,0.497590361,40.075,-25.3375,-0.632252027,1000,500,2,15,6,500,DEVIANCE
51,0.500364431,46.56,-29.185,-0.626825601,1000,200,4,15,6,100,DEVIANCE
52,0.494897959,39.655,-24.6175,-0.62079183,450,200,4,10,3,1000,DEVIANCE
53,0.492550927,33.2875,-20.6525,-0.620428089,450,150,7,15,6,1000,DEVIANCE
54,0.500281532,25.98,-16.11,-0.620092379,200,150,2,10,3,50,DEVIANCE
55,0.481164384,48.1875,-29.5325,-0.612866407,200,150,4,10,6,50,DEVIANCE
56,0.49437751,40.705,-24.7975,-0.609200344,1000,500,2,15,3,500,DEVIANCE
57,0.493951613,38.315,-23.2825,-0.607660185,1500,500,4,15,3,100,DEVIANCE
58,0.485383065,46.245,-27.9725,-0.604876203,1500,500,4,15,3,1000,DEVIANCE
59,0.489795918,38.685,-23.2825,-0.601848262,450,200,4,15,6,500,DEVIANCE
60,0.501081471,27.6125,-16.535,-0.598822997,1000,150,4,10,6,50,DEVIANCE
61,0.502008032,17.55,-10.4675,-0.596438746,1500,500,2,15,6,1000,DEVIANCE
62,0.493721461,34.795,-20.6425,-0.593260526,200,150,4,15,6,50,DEVIANCE
63,0.487394958,28.1775,-16.7075,-0.592937628,450,200,4,15,3,1000,DEVIANCE
64,0.488457207,28.58,-16.9025,-0.591410077,200,100,4,10,6,500,DEVIANCE
65,0.495890411,44.175,-25.9725,-0.587945671,1500,150,4,10,6,100,DEVIANCE
66,0.493566176,24.665,-14.46,-0.586255828,450,100,4,10,6,100,DEVIANCE
67,0.495689655,37.51,-21.8925,-0.583644362,1000,100,4,15,6,500,DEVIANCE
68,0.493159015,26.25,-15.1275,-0.576285714,450,150,7,15,6,500,DEVIANCE
69,0.493447581,35.945,-20.6575,-0.574697454,1500,500,4,15,3,50,DEVIANCE
70,0.489206446,31.76,-18.2275,-0.573913728,450,150,7,10,3,500,DEVIANCE
71,0.487686227,36.385,-20.6575,-0.567747698,450,150,7,15,3,1000,DEVIANCE
72,0.494863014,42.625,-24.1825,-0.567331378,200,150,4,15,3,100,DEVIANCE
73,0.506559767,28.2975,-15.795,-0.558176517,1000,200,4,15,3,100,DEVIANCE
74,0.488175676,32.32,-17.9175,-0.554378094,200,100,4,10,6,100,DEVIANCE
75,0.496398559,31.9775,-17.4625,-0.546087092,450,200,4,15,3,500,DEVIANCE
76,0.488570558,30.255,-16.455,-0.543877045,450,200,7,15,3,1000,DEVIANCE
77,0.488738739,26.485,-14.2125,-0.536624504,200,100,4,10,6,1000,DEVIANCE
78,0.5,39.86,-21.37,-0.536126443,200,100,2,15,3,500,DEVIANCE
79,0.495464853,43.73,-23.385,-0.534758747,200,100,2,15,6,500,DEVIANCE
80,0.492117117,44.565,-23.6275,-0.530180635,200,100,4,15,3,100,DEVIANCE
81,0.492439516,19.1,-10.1175,-0.529712042,1500,500,4,10,6,500,DEVIANCE
82,0.486774095,31.355,-16.4975,-0.526152129,450,150,7,15,3,500,DEVIANCE
83,0.492492492,23.615,-12.3975,-0.52498412,1000,150,2,10,6,500,DEVIANCE
84,0.502155172,35.15,-18.4325,-0.524395448,1000,100,4,15,6,100,DEVIANCE
85,0.5,34.765,-18.0925,-0.520422839,1500,200,4,15,6,500,DEVIANCE
86,0.49744898,35.95,-18.63,-0.51821975,1000,200,4,10,6,100,DEVIANCE
87,0.493697479,33.05,-16.9675,-0.513388805,450,200,4,15,6,1000,DEVIANCE
88,0.506048387,28.98,-14.7075,-0.507505176,1500,500,4,10,6,100,DEVIANCE
89,0.495148402,25.77,-13.0775,-0.507469926,200,150,4,10,3,1000,DEVIANCE
90,0.496058559,32.2975,-16.285,-0.504218593,200,150,2,10,6,1000,DEVIANCE
91,0.499565972,37.0875,-18.6825,-0.503741153,1500,100,4,10,6,500,DEVIANCE
92,0.496755588,40.75,-20.51,-0.503312883,1000,150,4,10,6,500,DEVIANCE
93,0.490927419,20.515,-10.3225,-0.503168413,1500,500,4,10,6,1000,DEVIANCE
94,0.49914966,30.345,-15.245,-0.502389191,200,100,2,15,6,1000,DEVIANCE
95,0.495659722,40.14,-20.1625,-0.502304434,1500,100,4,10,6,1000,DEVIANCE
96,0.50862069,24.675,-12.3425,-0.500202634,1000,100,4,10,3,50,DEVIANCE
97,0.492694064,37.15,-18.3525,-0.494010767,1500,150,4,10,6,1000,DEVIANCE
98,0.498873874,26.6975,-13.11,-0.491057215,200,150,2,10,6,500,DEVIANCE
99,0.504310345,29.97,-14.5375,-0.485068402,1000,100,4,10,6,100,DEVIANCE
100,0.493440233,49.98,-23.865,-0.477490996,1000,200,4,15,6,1000,DEVIANCE
101,0.503378378,32.56,-15.3,-0.46990172,200,150,2,15,6,500,DEVIANCE
102,0.494758065,37.785,-17.61,-0.46605796,1000,500,4,15,6,500,DEVIANCE
103,0.504810413,36.4475,-16.8675,-0.462788943,200,100,7,15,3,100,DEVIANCE
104,0.495591365,35.48,-16.2075,-0.456806652,450,150,7,10,3,1000,DEVIANCE
105,0.493172691,32.695,-14.8925,-0.455497783,1000,500,2,10,6,1000,DEVIANCE
106,0.492034314,24.73,-11.205,-0.453093409,450,100,4,10,3,1000,DEVIANCE
107,0.502840909,38.295,-17.3475,-0.452996475,450,200,2,15,3,500,DEVIANCE
108,0.496017157,36.61,-16.435,-0.44892106,450,100,4,10,3,500,DEVIANCE
109,0.498174442,40.355,-17.975,-0.445421881,1000,500,7,10,6,500,DEVIANCE
110,0.497177419,51.49,-22.65,-0.439891241,1000,500,4,15,6,50,DEVIANCE
111,0.508264463,19.465,-8.36,-0.429488826,1500,200,2,10,3,500,DEVIANCE
112,0.503024194,27.705,-11.8975,-0.42943512,1500,500,4,10,3,1000,DEVIANCE
113,0.497716895,44.935,-19.1675,-0.426560588,1500,150,4,15,6,1000,DEVIANCE
114,0.507305936,32.49,-13.8275,-0.42559249,1500,150,4,15,3,100,DEVIANCE
115,0.501689189,30.11,-12.59,-0.41813351,200,150,2,15,3,500,DEVIANCE
116,0.502883922,40.3875,-16.83,-0.416713092,1000,150,4,15,6,50,DEVIANCE
117,0.499714612,49,-20.3175,-0.414642857,200,150,4,15,3,50,DEVIANCE
118,0.494520548,50.385,-20.8725,-0.414260196,1500,150,4,15,6,100,DEVIANCE
119,0.503395586,38.645,-15.9225,-0.412019666,200,100,7,10,6,50,DEVIANCE
120,0.5,32.545,-13.2525,-0.407205408,1000,100,4,15,6,1000,DEVIANCE
121,0.492369478,30.825,-12.4025,-0.402351987,1000,500,2,15,6,100,DEVIANCE
122,0.492398649,32.495,-13.0725,-0.40229266,200,100,4,10,6,50,DEVIANCE
123,0.491638796,24.775,-9.9275,-0.400706357,450,150,7,15,3,100,DEVIANCE
124,0.502533784,28.76,-11.465,-0.39864395,200,150,2,15,6,1000,DEVIANCE
125,0.50060024,31.805,-12.5225,-0.393727401,450,200,4,10,3,500,DEVIANCE
126,0.492346939,43.16,-16.97,-0.393188137,1000,200,4,15,6,500,DEVIANCE
127,0.48875502,16.465,-6.4575,-0.392195566,1000,500,2,10,6,100,DEVIANCE
128,0.496017157,19.505,-7.61,-0.39015637,450,100,4,10,3,100,DEVIANCE
129,0.503196347,40.47,-15.7325,-0.388744749,1500,150,4,10,3,500,DEVIANCE
130,0.494252874,29,-11.0875,-0.382327586,1000,100,4,15,3,500,DEVIANCE
131,0.505968779,19.9925,-7.615,-0.380892835,1500,200,2,10,3,1000,DEVIANCE
132,0.5078125,33.005,-12.4875,-0.378351765,1500,100,4,15,6,100,DEVIANCE
133,0.494897959,34.1425,-12.9075,-0.378047888,1500,200,4,10,6,1000,DEVIANCE
134,0.500806452,34.035,-12.865,-0.377993242,1000,500,4,10,6,500,DEVIANCE
135,0.494971264,24.87,-9.3075,-0.37424608,1000,100,4,10,6,500,DEVIANCE
136,0.488702624,27.3,-10.1175,-0.370604396,1000,100,2,10,6,500,DEVIANCE
137,0.499495968,28.795,-10.6375,-0.369421775,1500,500,4,10,3,500,DEVIANCE
138,0.491618076,24.7675,-9.1375,-0.368931059,1000,100,2,10,3,1000,DEVIANCE
139,0.500565931,36.315,-13.3425,-0.367410161,200,100,7,10,3,1000,DEVIANCE
140,0.495967742,29.675,-10.8025,-0.364026959,1500,500,4,15,3,500,DEVIANCE
141,0.503096847,26.83,-9.65,-0.359672009,200,150,2,15,3,1000,DEVIANCE
142,0.493436073,26.26,-9.3475,-0.355959634,200,150,4,10,3,500,DEVIANCE
143,0.501736111,41.965,-14.8125,-0.352972715,1500,100,4,15,3,1000,DEVIANCE
144,0.503787879,35.035,-12.3325,-0.352005138,450,200,2,10,3,500,DEVIANCE
145,0.497466216,36.52,-12.8525,-0.351930449,200,100,4,15,6,50,DEVIANCE
146,0.489814533,30.38,-10.5325,-0.346691903,450,150,7,10,3,50,DEVIANCE
147,0.49283755,29.63,-10.26,-0.346270672,450,200,7,15,3,500,DEVIANCE
148,0.492346939,30.215,-10.14,-0.335594903,1000,200,4,10,3,500,DEVIANCE
149,0.495967742,27.345,-9.1275,-0.333790455,1500,500,4,15,6,500,DEVIANCE
150,0.508746356,18.14,-6.025,-0.33213892,1000,200,4,10,3,50,DEVIANCE
151,0.50311262,39.375,-13.0425,-0.331238095,200,100,7,10,3,500,DEVIANCE
152,0.496621622,25.3,-8.375,-0.331027668,200,150,2,10,6,100,DEVIANCE
153,0.498144712,27.435,-9.0125,-0.328503736,1500,200,4,10,3,500,DEVIANCE
154,0.496957404,44.045,-14.31,-0.324894994,1000,500,7,10,6,1000,DEVIANCE
155,0.499155405,21.7575,-7.005,-0.321957946,200,150,2,10,3,1000,DEVIANCE
156,0.496347032,33.695,-10.7925,-0.320299748,1500,150,4,10,3,1000,DEVIANCE
157,0.497580645,43.435,-13.665,-0.314608035,1000,500,4,15,6,1000,DEVIANCE
158,0.503279883,24.25,-7.405,-0.305360825,1000,200,4,10,6,50,DEVIANCE
159,0.50180072,23.24,-7.0775,-0.304539587,450,200,4,15,6,50,DEVIANCE
160,0.495275831,24.08,-7.275,-0.30211794,450,200,7,15,6,1000,DEVIANCE
161,0.504436557,17.8225,-5.3275,-0.298919905,1500,100,2,10,6,50,DEVIANCE
162,0.494983278,21.5,-6.2725,-0.291744186,450,150,7,15,6,100,DEVIANCE
163,0.497260274,33.045,-9.5175,-0.288016341,1500,150,4,10,6,500,DEVIANCE
164,0.503684807,28.66,-8.115,-0.283147244,200,100,2,15,6,50,DEVIANCE
165,0.499281609,42.145,-11.9275,-0.283011033,1000,100,4,15,3,1000,DEVIANCE
166,0.494922342,25.435,-7.035,-0.27658738,450,100,7,10,3,100,DEVIANCE
167,0.498196248,27.345,-7.4025,-0.270707625,1000,200,2,10,3,1000,DEVIANCE
168,0.509641873,17.275,-4.67,-0.270332851,1500,200,2,10,6,1000,DEVIANCE
169,0.49729892,40.575,-10.9225,-0.269192853,450,200,4,10,6,1000,DEVIANCE
170,0.496146045,28.195,-7.57,-0.26848732,1000,500,7,15,3,1000,DEVIANCE
171,0.5,25.43,-6.6875,-0.262976799,1000,200,2,15,3,1000,DEVIANCE
172,0.503156566,40.74,-10.3475,-0.253988709,450,200,2,15,3,50,DEVIANCE
173,0.490620491,30.2375,-7.6025,-0.251426209,1000,200,2,10,6,1000,DEVIANCE
174,0.497590361,25.86,-6.4825,-0.250676721,1000,500,2,10,3,1000,DEVIANCE
175,0.500631313,32.975,-8.1575,-0.247384382,450,200,2,10,3,1000,DEVIANCE
176,0.5,25.18,-6.1175,-0.242950755,450,200,2,10,6,1000,DEVIANCE
177,0.506195335,33.625,-7.72,-0.229591078,1000,200,4,10,3,100,DEVIANCE
178,0.502523432,26.585,-6.05,-0.227571939,1000,150,4,10,3,500,DEVIANCE
179,0.503401361,26.2225,-5.93,-0.226141672,200,100,2,10,6,100,DEVIANCE
180,0.506465517,22.505,-5.0425,-0.22406132,1000,100,4,10,3,100,DEVIANCE
181,0.504436557,21.755,-4.8025,-0.22075385,1500,100,2,10,3,500,DEVIANCE
182,0.506552419,18.25,-3.9725,-0.217671233,1500,500,4,10,6,50,DEVIANCE
183,0.501330967,21.395,-4.6425,-0.216989951,1500,100,2,10,6,1000,DEVIANCE
184,0.507575758,41.665,-8.9675,-0.215228609,450,200,2,15,6,100,DEVIANCE
185,0.505681818,39.875,-8.4425,-0.211724138,450,200,2,15,3,100,DEVIANCE
186,0.507074137,30.96,-6.5375,-0.211159561,200,100,7,10,3,100,DEVIANCE
187,0.508522727,43.55,-9.0575,-0.207979334,450,200,2,15,6,50,DEVIANCE
188,0.504174397,27.435,-5.6775,-0.206943685,1500,200,4,10,3,1000,DEVIANCE
189,0.499556344,21.785,-4.4525,-0.20438375,1500,100,2,10,3,1000,DEVIANCE
190,0.500720981,32.225,-6.515,-0.202172227,1000,150,4,15,6,1000,DEVIANCE
191,0.494639666,28,-5.65,-0.201785714,450,150,4,15,6,500,DEVIANCE
192,0.50483871,29.18,-5.825,-0.199623029,1000,500,4,10,6,50,DEVIANCE
193,0.496551724,28.675,-5.655,-0.197210113,1000,500,7,15,3,500,DEVIANCE
194,0.511494253,30.35,-5.9575,-0.196293245,1000,100,4,15,6,50,DEVIANCE
195,0.50742115,30.595,-5.9925,-0.195865337,1500,200,4,15,6,50,DEVIANCE
196,0.49744898,32.09,-6.28,-0.195699595,1000,200,4,10,3,1000,DEVIANCE
197,0.499684343,36.06,-6.9225,-0.191971714,450,200,2,15,3,1000,DEVIANCE
198,0.493448481,23.87,-4.41,-0.184750733,450,150,4,10,3,1000,DEVIANCE
199,0.50060024,42.74,-7.83,-0.183200749,450,100,2,10,6,1000,DEVIANCE
200,0.505102041,24.92,-4.475,-0.179574639,1000,200,4,15,3,1000,DEVIANCE
201,0.497311828,13.105,-2.31,-0.1762686,1500,100,7,10,3,100,DEVIANCE
202,0.498558039,29.88,-5.215,-0.174531459,1000,150,4,15,3,1000,DEVIANCE
203,0.491164659,21.03,-3.6375,-0.17296719,1000,500,2,10,6,50,DEVIANCE
204,0.504109589,37.9,-6.2775,-0.165633245,1500,150,4,15,6,500,DEVIANCE
205,0.496961806,39.545,-6.4975,-0.164306486,1500,100,4,15,6,1000,DEVIANCE
206,0.498808815,27.71,-4.465,-0.161133165,450,150,4,10,3,50,DEVIANCE
207,0.498790323,24.16,-3.82,-0.158112583,1000,500,4,15,3,500,DEVIANCE
208,0.503673095,20.2275,-3.185,-0.157458905,1500,200,2,15,3,500,DEVIANCE
209,0.50872211,25.105,-3.845,-0.153156742,1000,500,7,10,6,100,DEVIANCE
210,0.507884972,27.7375,-4.2425,-0.15295178,1500,200,4,10,6,50,DEVIANCE
211,0.501391466,30.66,-4.6375,-0.151255708,1500,200,4,10,6,500,DEVIANCE
212,0.503378378,18.695,-2.77,-0.148167959,200,150,2,15,3,100,DEVIANCE
213,0.498213222,23.485,-3.425,-0.145837769,450,150,4,15,6,1000,DEVIANCE
214,0.505366162,25.85,-3.7625,-0.145551257,450,200,2,10,3,50,DEVIANCE
215,0.509003601,35,-4.765,-0.136142857,450,100,2,10,3,500,DEVIANCE
216,0.501838235,24.56,-3.315,-0.13497557,450,100,4,10,6,500,DEVIANCE
217,0.507086168,27.01,-3.525,-0.13050722,200,100,2,15,3,100,DEVIANCE
218,0.504535147,28.855,-3.715,-0.128747184,200,100,2,15,3,50,DEVIANCE
219,0.49466626,23.655,-3.045,-0.128725428,450,200,7,10,6,1000,DEVIANCE
220,0.503601441,26.69,-3.2825,-0.122986137,450,200,4,10,6,100,DEVIANCE
221,0.504340278,37.745,-4.6075,-0.122069148,1500,100,4,15,6,500,DEVIANCE
222,0.501351351,19.515,-2.305,-0.118114271,1500,150,2,10,3,1000,DEVIANCE
223,0.503992629,44.47,-5.2375,-0.117776029,450,150,2,15,3,500,DEVIANCE
224,0.510560147,18.395,-2.155,-0.1171514,1500,200,2,15,3,1000,DEVIANCE
225,0.508219178,34.855,-4.0775,-0.116984651,1500,150,4,15,3,1000,DEVIANCE
226,0.4969988,48.775,-5.67,-0.116248078,450,100,2,15,6,1000,DEVIANCE
227,0.505734266,30.825,-3.365,-0.109164639,200,150,7,10,3,1000,DEVIANCE
